"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2023","337.31","333.41","339.45","331.83","22.83M","2.27%"
"10/27/2023","329.81","330.42","336.72","328.40","29.86M","0.59%"
"10/26/2023","327.89","340.54","341.63","326.94","37.83M","-3.75%"
"10/25/2023","340.67","345.02","346.20","337.62","55.05M","3.07%"
"10/24/2023","330.53","331.30","331.84","327.60","31.15M","0.37%"
"10/23/2023","329.32","325.47","332.73","324.39","24.37M","0.81%"
"10/20/2023","326.67","331.72","331.92","325.45","25.03M","-1.40%"
"10/19/2023","331.32","332.15","336.88","330.91","25.05M","0.37%"
"10/18/2023","330.11","332.49","335.59","328.30","23.15M","-0.59%"
"10/17/2023","332.06","329.59","333.46","327.41","18.34M","-0.17%"
"10/16/2023","332.64","331.05","336.14","330.60","22.16M","1.50%"
"10/13/2023","327.73","332.38","333.83","326.36","21.09M","-1.04%"
"10/12/2023","331.16","330.57","333.63","328.72","19.31M","-0.38%"
"10/11/2023","332.42","331.21","332.82","329.14","20.06M","1.23%"
"10/10/2023","328.39","330.96","331.10","327.67","20.56M","-0.43%"
"10/09/2023","329.82","324.75","330.30","323.18","19.89M","0.78%"
"10/06/2023","327.26","316.55","329.19","316.30","25.67M","2.47%"
"10/05/2023","319.36","319.09","319.98","314.90","16.97M","0.13%"
"10/04/2023","318.95","314.03","320.04","314.00","20.72M","1.78%"
"10/03/2023","313.39","320.83","321.39","311.21","21.03M","-2.61%"
"10/02/2023","321.80","316.28","321.89","315.18","20.57M","1.92%"
"09/29/2023","315.75","317.75","319.47","314.98","24.15M","0.67%"
"09/28/2023","313.64","310.99","315.48","309.45","19.68M","0.27%"
"09/27/2023","312.79","312.30","314.30","309.69","19.41M","0.21%"
"09/26/2023","312.14","315.13","315.88","310.02","26.30M","-1.70%"
"09/25/2023","317.54","316.59","317.67","315.00","17.84M","0.17%"
"09/22/2023","317.01","321.32","321.45","316.15","21.45M","-0.79%"
"09/21/2023","319.53","319.26","325.35","315.00","35.56M","-0.39%"
"09/20/2023","320.77","329.51","329.59","320.51","21.44M","-2.40%"
"09/19/2023","328.65","326.17","329.39","324.51","16.51M","-0.12%"
"09/18/2023","329.06","327.80","330.40","326.36","16.83M","-0.35%"
"09/15/2023","330.22","336.92","337.40","329.65","37.68M","-2.50%"
"09/14/2023","338.70","339.15","340.86","336.57","20.27M","0.79%"
"09/13/2023","336.06","331.31","336.85","331.17","16.54M","1.29%"
"09/12/2023","331.77","335.82","336.79","331.48","17.57M","-1.83%"
"09/11/2023","337.94","337.24","338.42","335.43","16.58M","1.10%"
"09/08/2023","334.27","330.09","336.16","329.46","19.55M","1.32%"
"09/07/2023","329.91","331.29","333.08","329.03","18.38M","-0.89%"
"09/06/2023","332.88","333.38","334.46","330.18","17.54M","-0.20%"
"09/05/2023","333.55","329.00","334.85","328.66","18.55M","1.49%"
"09/01/2023","328.66","331.31","331.99","326.78","14.94M","0.27%"
"08/31/2023","327.76","329.20","330.91","326.78","26.41M","-0.31%"
"08/30/2023","328.79","328.67","329.81","326.45","15.22M","0.12%"
"08/29/2023","328.41","321.88","328.98","321.88","19.28M","1.46%"
"08/28/2023","323.70","325.66","326.15","321.72","14.81M","0.22%"
"08/25/2023","322.98","321.47","325.36","318.80","21.68M","0.94%"
"08/24/2023","319.97","332.85","332.98","319.96","23.28M","-2.15%"
"08/23/2023","327.00","323.82","329.20","323.46","21.17M","1.41%"
"08/22/2023","322.46","325.50","326.08","321.46","16.10M","0.18%"
"08/21/2023","321.88","317.93","322.77","317.04","24.04M","1.71%"
"08/18/2023","316.48","314.49","318.38","311.55","24.76M","-0.13%"
"08/17/2023","316.88","320.54","321.87","316.21","21.26M","-1.10%"
"08/16/2023","320.40","320.80","324.42","319.80","20.70M","-0.45%"
"08/15/2023","321.86","323.00","325.09","320.90","16.97M","-0.67%"
"08/14/2023","324.04","321.39","324.06","320.08","18.84M","0.94%"
"08/11/2023","321.01","320.26","322.41","319.21","24.36M","-0.59%"
