"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2023","104.69","102.97","104.75","102.75","14.88M","1.48%"
"07/07/2023","103.16","101.92","104.00","101.56","21.93M","0.23%"
"07/06/2023","102.92","105.09","105.72","102.43","17.96M","-3.73%"
"07/05/2023","106.91","107.63","107.92","106.10","12.49M","-0.51%"
"07/03/2023","107.46","107.49","108.46","107.07","7.40M","0.20%"
"06/30/2023","107.25","107.32","107.88","106.81","13.54M","0.52%"
"06/29/2023","106.70","105.66","106.73","105.13","11.36M","1.23%"
"06/28/2023","105.40","104.31","105.82","103.20","13.08M","0.81%"
"06/27/2023","104.55","104.04","104.61","103.27","13.23M","0.25%"
"06/26/2023","104.29","102.20","104.90","102.20","14.28M","1.85%"
"06/23/2023","102.40","102.59","102.82","101.62","17.93M","-0.87%"
"06/22/2023","103.30","102.84","103.89","102.65","12.46M","-0.55%"
"06/21/2023","103.87","102.50","104.63","102.33","13.29M","1.12%"
"06/20/2023","102.72","104.68","104.77","102.12","17.52M","-2.29%"
"06/16/2023","105.13","106.36","106.77","104.96","43.13M","-0.72%"
"06/15/2023","105.89","105.50","107.03","105.44","16.22M","0.69%"
"06/14/2023","105.16","107.45","108.11","104.39","16.63M","-1.20%"
"06/13/2023","106.44","107.38","108.34","106.28","13.53M","0.02%"
"06/12/2023","106.42","105.81","107.06","105.56","14.12M","-0.90%"
"06/09/2023","107.39","108.46","108.61","107.16","12.25M","-0.74%"
"06/08/2023","108.19","108.77","109.14","105.90","13.52M","-0.31%"
"06/07/2023","108.53","106.79","108.89","106.73","16.03M","2.24%"
"06/06/2023","106.15","104.15","106.27","103.98","12.21M","0.82%"
"06/05/2023","105.29","107.19","107.29","105.09","12.25M","-0.44%"
"06/02/2023","105.76","105.16","106.13","104.53","14.11M","2.32%"
"06/01/2023","103.36","101.75","105.58","101.26","13.55M","1.15%"
"05/31/2023","102.18","102.29","103.04","101.74","24.93M","-1.79%"
"05/30/2023","104.04","103.29","104.12","102.61","11.94M","-0.89%"
"05/26/2023","104.97","106.47","106.95","104.83","12.37M","-0.65%"
"05/25/2023","105.66","105.94","106.43","104.71","14.32M","-1.79%"
